Date,High,Low,Open,Close,Volume,Adj Close
03/01/2006,2.669642925,2.580357075,2.585000038,2.669642925,807234400,2.284266949
04/01/2006,2.71357131,2.660714388,2.683214188,2.67750001,619603600,2.290989876
05/01/2006,2.674999952,2.633928537,2.672499895,2.656428576,449422400,2.27296114
06/01/2006,2.739285707,2.662499905,2.6875,2.724999905,704457600,2.331633568
09/01/2006,2.757142782,2.704999924,2.740357161,2.716071367,675040800,2.323993921
10/01/2006,2.924642801,2.708214283,2.723214388,2.887857199,2279869200,2.470981836
11/01/2006,3.028571367,2.949642897,2.994285822,2.99642849,1493794400,2.563880205
12/01/2006,3.08571434,2.986428499,3.034642935,3.010357141,1280809600,2.575798273
13/01/2006,3.071785688,3.021428585,3.035357237,3.056785822,776305600,2.615525007
17/01/2006,3.085000038,2.995357037,3.060714245,3.025357246,835623600,2.588633299
18/01/2006,3.001785755,2.923214197,2.96714282,2.946071386,1200637200,2.520792961
19/01/2006,2.916428566,2.812142849,2.901785612,2.822857141,1695848000,2.415365219
20/01/2006,2.858571529,2.708214283,2.831428528,2.717499971,1134758800,2.325216055
23/01/2006,2.841428518,2.714285612,2.717857122,2.773928642,1059730000,2.373499393
24/01/2006,2.836428642,2.706071377,2.812857151,2.715714216,1142254400,2.323688745
25/01/2006,2.767857075,2.616071463,2.763928652,2.650000095,1275786400,2.267460108
26/01/2006,2.69392848,2.56892848,2.661785603,2.583214283,1181387200,2.210315704
27/01/2006,2.62857151,2.53928566,2.60535717,2.57249999,953864800,2.201147795
30/01/2006,2.735714197,2.531071424,2.541785717,2.678571463,1398401200,2.291907549
31/01/2006,2.726428509,2.633928537,2.696428537,2.696785688,913542000,2.307492256
01/02/2006,2.730714321,2.665714264,2.676785707,2.693571329,521186400,2.304742336
02/02/2006,2.691428661,2.573214293,2.682142973,2.575000048,707322000,2.203286648
03/02/2006,2.599642754,2.537142754,2.579999924,2.56607151,692123600,2.195647001
06/02/2006,2.589642763,2.383571386,2.572142839,2.403571367,1651767600,2.056605339
07/02/2006,2.481428623,2.38142848,2.438214302,2.41428566,1388830800,2.065772295
08/02/2006,2.46714282,2.357142925,2.446071386,2.457499981,953114400,2.102748156
09/02/2006,2.472500086,2.304642916,2.467857122,2.319642782,1149764000,1.984791756
10/02/2006,2.416785717,2.24642849,2.327857256,2.403928518,1760477600,2.056910038
13/02/2006,2.383928537,2.308571339,2.379642963,2.311071396,883498000,1.977457404
14/02/2006,2.432142973,2.321428537,2.325000048,2.415714264,1160938800,2.066994905
15/02/2006,2.486428499,2.383928537,2.398571491,2.472142935,1159771200,2.115278006
16/02/2006,2.536071539,2.481428623,2.496785641,2.520357132,948175200,2.156532049
17/02/2006,2.531785727,2.486071348,2.510714293,2.510357141,575999200,2.147975206
21/02/2006,2.528571367,2.452857256,2.521071434,2.46714282,779606800,2.110998869
22/02/2006,2.559642792,2.428571463,2.464285612,2.547142744,978238800,2.179450274
23/02/2006,2.607142925,2.551071405,2.563928604,2.5625,856917600,2.192591667
24/02/2006,2.603214264,2.54285717,2.576428652,2.552142859,534744000,2.183728933
27/02/2006,2.57571435,2.52321434,2.571071386,2.535357237,791240800,2.169366837
28/02/2006,2.58571434,2.432142973,2.556428671,2.446071386,1266980400,2.092969418
01/03/2006,2.481785774,2.429285765,2.458571434,2.467857122,763817600,2.111610413
02/03/2006,2.499642849,2.452500105,2.463928461,2.486071348,625273600,2.127195597
03/03/2006,2.496785641,2.411785603,2.478571415,2.418571472,737668400,2.069439411
06/03/2006,2.418571472,2.319285631,2.417500019,2.33857131,912665600,2.000987768
07/03/2006,2.389285803,2.324285746,2.348571539,2.368214369,872877600,2.026351452
08/03/2006,2.400000095,2.333928585,2.367500067,2.345000029,653251200,2.006488562
09/03/2006,2.373928547,2.278928518,2.356428623,2.283214331,799304800,1.953621864
10/03/2006,2.303214312,2.23035717,2.287499905,2.256785631,1043142800,1.931008101
13/03/2006,2.367142916,2.313928604,2.323214293,2.345714331,861187600,2.007099152
14/03/2006,2.404285669,2.339285612,2.34892869,2.404285669,642020400,2.057215929
15/03/2006,2.430000067,2.339999914,2.418214321,2.365357161,891996000,2.023906708
16/03/2006,2.389285803,2.29642868,2.387500048,2.296785831,749638400,1.965233684
17/03/2006,2.340714216,2.289642811,2.3125,2.309285641,812042000,1.975930095
20/03/2006,2.337857246,2.281071424,2.329285622,2.285357237,605441200,1.95545578
21/03/2006,2.297857046,2.192500114,2.207499981,2.207499981,1345366400,1.888837218
22/03/2006,2.258928537,2.188214302,2.220000029,2.202500105,1345895600,1.884559035
23/03/2006,2.21071434,2.128928661,2.207857132,2.148571491,1427826400,1.838415265
24/03/2006,2.176428556,2.108214378,2.151785612,2.141428471,1071980000,1.832303047
27/03/2006,2.192142963,2.12142849,2.155357122,2.125357151,1108072000,1.818552375
28/03/2006,2.147857189,2.080357075,2.129642963,2.096785784,1370322800,1.794105291
